title,desc,category,needs,duration,energy,link,link_label
Shadow puppets,"Turn on a lamp, create three shadow shapes with your hands, and spin a 60-second story about them together.",play,Humor|Creativity,6,playful,,
Beatbox handshake,"Invent a four-beat combo of claps, snaps, and beatbox syllables. Count yourselves in together, practice it once at a steady tempo.",play,Fun|Closeness,5,lively,,
Paper airplane relay,Fold the quickest paper airplane you can and take turns flying from couch to doorway.,play,Play|Improvement,7,lively,,
4-4-6 breaths,"Sit with feet grounded. Inhale for four counts, hold for four, and exhale for six.",calm,Calm|Co-regulation,6,calm,,
Window watch,"Sit together and name five things you can see, hear, or sense outside the window right now.",calm,Peace|Connection with environment,5,calm,,
Tiny nap pact,"Set a three-minute timer, lie down back-to-back or foot-to-foot, and rest quietly until the timer rings.",calm,Rest|Comfort,10,calm,,
Back tracing letters,"Trace a short word on your partner’s back with a fingertip while they guess, then swap roles.",connection,Touch|Play,4,warm,,
Tidy duet,Clean one surface together and celebrate with a high-five.,order,Order|Teamwork,10,medium,,
Label one drawer,Write a quick label on scrap paper and tape it to a drawer or bin so one cluster of items gains a clear home.,order,Clarity|Predictability,5,calm,,
5-item release,"Spot five obvious trash or recycling items, remove them now, and celebrate with a goofy courtesy.",order,Completion|Momentum,6,playful,,
Reset the couch zone,"Fluff pillows, fold a blanket, and clear stray cups before sitting back down together.",order,Beauty|Comfort,8,warm,,
Micro-toasts,Raise your glasses (or pretend glasses) and offer ten-second toasts to small things that made today lighter.,reflection,Celebration|Gratitude,5,warm,,
What I value in you cards,"On two scraps of paper, write a quality you cherish in each other, then hand them over and read aloud.",reflection,Appreciation|Being known,6,warm,,
Success snapshot,Name one action your partner did this week that served you and explain exactly how it helped.,reflection,Recognition|Contribution,4,warm,,
Favorite moment replay,"Each narrate a short favorite shared moment and the need it met, then enjoy the memory together.",reflection,Meaning|Connection,6,warm,https://needshare.net/needs,Browse Needs
10-second dance bow,"Face each other, bow like performers, improvise ten seconds of movement, and bow again.",play,Expression|Celebration,4,playful,,
Request practice,"Practice the template: “When I notice __, I feel __ because I need __. Would you be willing to __?” and respond with yes, no, or an alternative.",learning,Clarity|Empowerment,8,calm,https://needshare.net/needs,Browse Needs
Value word of the day,Choose one need such as respect or play and each share a memory of when it was fulfilled.,learning,Meaning|Orientation,6,warm,https://needshare.net/needs,Browse Needs
Household haiku,Compose a quick 5-7-5 haiku about something you can both see right now and share it.,creativity,Beauty|Presence,7,calm,,
100-step wander,"Walk one hundred slow steps around your home together, tapping an agreed “home base” each lap.",movement,Movement|Companionship,8,calm,,
Balance challenge,Stand facing each other on one foot with palms touching lightly and try to stay steady for thirty seconds before switching feet.,movement,Focus|Coordination,5,medium,,
Tiny altar of now,"Choose three objects that symbolize what matters tonight, arrange them together, and sit quietly with them for a minute. Then share with each other what they mean.",meaning,Reverence|Coherence,6,calm,,
Mourning minute,Each name one thing you wish had gone differently today while the listener reflects the need they imagine mattered.,meaning,Mourning|Validation,5,calm,https://needshare.net/needs,Browse Needs
Scent tour,"Gather three safe-to-smell items like tea or spices, take turns inhaling each, and share the memory it sparks.",senses,Sensuality|Nostalgia,6,calm,,
Compliment the body,Name two non-sexual physical qualities you appreciate in your partner.,sensual,Appreciation|Acceptance,4,warm,,
Snack staging,"Plate a shared snack you already have, arrange it beautifully, and enjoy three slow bites each.",teamwork,Nourishment|Togetherness,7,warm,,
Welcome-home sign,Create a small welcome note for the next time one of you returns home and place it by the door.,teamwork,Care|Anticipation,6,warm,,
Five-star dishwash,"Wash exactly five dishes as a duo—one washes, one dries—then stop and celebrate the tiny win.",teamwork,Completion|Cooperation,6,playful,,
10-object gallery,"Pick ten small items, arrange them into a mini-gallery on a shelf, and give the exhibit a title.",beauty,Beauty|Creativity,8,playful,,
Light & sound tune,Adjust one light and one sound source—like dimming a lamp or opening a window—then check in with “more or less?”.,beauty,Comfort|Ease,4,calm,,
Photo-free memory wall,Write three short titles of shared memories on scraps of paper and tape them up as a mini memory wall.,beauty,Continuity|Shared story,7,warm,,
Five beauties,"Take turns pointing out five beautiful details you can see right now, like shadow patterns or wood grain.",beauty,Appreciation|Presence,4,calm,,
